timestamp,package,core,uncore,dram,psys,cpu
8.512,0.633362,0.225464,0.013184,0.000000,1.382874,0
8.627,0.735107,0.305481,0.010193,0.000000,1.474182,0
8.739,0.762451,0.343750,0.011536,0.000000,1.540283,0
8.854,0.749329,0.322754,0.009155,0.000000,1.482910,0
8.966,0.734497,0.320862,0.013428,0.000000,1.495544,0
9.080,0.796997,0.353271,0.015869,0.000000,1.543884,0
9.193,0.794006,0.350281,0.014771,0.000000,1.570129,0
9.307,0.765381,0.330627,0.016296,0.000000,1.507202,0
9.419,0.677490,0.273865,0.009949,0.000000,1.420471,0
9.535,0.703979,0.281067,0.011841,0.000000,1.409180,0
9.647,0.698059,0.281372,0.015259,0.000000,1.420776,0
9.759,0.765564,0.302673,0.013489,0.000000,1.712097,0
9.872,0.786377,0.289612,0.013550,0.000000,1.584595,0
9.985,0.708984,0.283997,0.015686,0.000000,1.418884,0
